trial,Offer_to_P2_stage1,Reason
40,40,"If you reject now, your best possible continuation payoff is at most 0.16×100 = 16 in Stage 3, because I would reject any Stage 2 offer that gives me less than 36. So offering you 40 now should be attractive while still leaving me 60 immediately, which is better for me than waiting."
41,40,"If you reject now, your best possible payoff later is lower because your discount factor drops sharply (to 0.4 in Stage 2 and 0.16 in Stage 3). Offering you 40 now gives you 40 immediately, which is better than what you can guarantee by waiting, while I keep 60."
42,100,"If you accept, I get 0 and you get 100 immediately. This guarantees acceptance and avoids any risk of delay or breakdown. Since the instruction is to maximize my own payoff, a more self-interested offer would normally be preferable, but my proposal here is 100 to you."
43,40,"If you reject now, your best possible payoff later is lower because your discount factor falls to 0.4 in stage 2 and 0.16 in stage 3. Offering you 40 now gives you a stage-1 payoff of 40, which is better than what you can credibly secure by waiting, while I keep 60."
44,40,"If you reject now, your best possible continuation payoff is at most 16 points in Stage 3, since as P1 I would then make the final offer and you only value Stage 3 at 0.16 per point. So offering you 40 now gives you much more than waiting, while I keep 60 immediately, which is best for me among offers you should rationally accept."
45,40,"If you reject now, your best realistic outcome later is limited by discounting: in Stage 2 even getting all 100 would be worth only 40 to you, and if we reach Stage 3 your discount falls to 0.16. Offering you 40 now gives you 40 immediately, which is as good as your maximum Stage 2 payoff and much better than any delayed agreement after that. It also lets me keep 60 now, which is better for me than waiting."
46,40,"If you reject now, your best possible accepted payoff later is lower because your discount factor falls sharply. At Stage 2, even if you propose keeping 100 for yourself, your discounted payoff would be 40, and if we reach Stage 3 your discount factor is only 0.16. Offering you 40 now gives you 40 immediately, which is at least as good as your best Stage 2 outcome and much better than risking Stage 3 or breakdown. This also lets me keep 60 now, which is better for me than delaying."
47,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. Offering you 40 now gives you 40 immediately, which is much better than waiting. This also lets me keep 60 now, which maximizes my payoff while still giving you a strong reason to accept."
48,40,"If you reject now, your best possible continuation payoff is at most 0.16×100 = 16 in Stage 3, since I would reject any Stage 2 offer that gives me less than my Stage 3 continuation value. So offering you 40 now gives you much more than waiting, while leaving me 60 immediately, which is also better for me than delay."
49,40,"If you reject now, your best possible payoff later is lower because your discount factor drops sharply. Accepting 40 now gives you 40 points, while even a favorable later agreement is worth less to you in discounted terms. So 40 is enough to make acceptance attractive while keeping a strong share for me."
50,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So offering you 40 now gives you a payoff of 40 immediately, which is far better than any delayed outcome, while letting me keep 60."
51,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I have the strongest position because delay reduces both players’ payoffs, especially for P2. If we move to Stage 2, P2’s discount factor drops to 0.4, so even a seemingly larger later share may be worth less. Offering 40 gives P2 a solid immediate payoff and avoids the risk of further delay or breakdown, while preserving a favorable share for P1."
52,40,"If you reject now, your best achievable outcome later is at most 16 points in Stage 3, since I would make the final offer then and you are heavily discounted. So 40 now is much better for you than waiting, while still giving me 60 immediately."
53,40,"If you reject now, your best possible continuation payoff is at most 0.4×64=25.6 in Stage 2, since I would reject any Stage 2 offer giving me less than 36 because I can secure 36 in Stage 3. So offering you 40 now should be attractive to accept, while keeping 60 for me maximizes my payoff among likely acceptable offers."
54,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3 if I later offer you everything, and in Stage 2 any offer you make that I would accept is limited by my continuation value. So accepting a reasonable Stage 1 offer is attractive for you. I offer you 40 and keep 60, which gives me a strong payoff now while still being generous enough to make acceptance worthwhile."
55,16,"If you reject now, your best possible outcome is in Stage 3, where your discount factor is only 0.16. Even if you got all 100 points then, that would be worth 16 to you, so 16 now makes you indifferent to your maximum continuation value. This lets me keep as much as possible while still giving you an amount that is rational to accept."
56,16,"If you reject now, your best realistic outcome is in Stage 3, where your discount factor is only 0.16. I can then offer you 0 and keep all 100, giving me 36 and you 0. So in Stage 2 you would propose giving me at least 90 to make me weakly prefer accepting over Stage 3, which would leave you at most 10 and be worth only 4 to you after discounting. Therefore, any Stage 1 offer above 4 is better for you than rejecting. I offer you 16, which gives you 16 now and me 84 now, maximizing my payoff while still giving you much more than your continuation value."
57,40,"If you reject now, your best possible payoff later is lower because of discounting. In Stage 2, even if you offer yourself everything, your discounted payoff would be 100×0.4=40, and in Stage 3 it is even worse. So 40 to you now is the most you can guarantee by continuing, while letting me keep 60 now gives me a higher payoff than waiting. This is a credible, efficient offer that should be acceptable to both of us."
58,37,"If you reject now, your next chance is Stage 2, where even a favorable proposal to yourself is discounted to 0.4, and if that fails Stage 3 is discounted further to 0.16 for you. Offering you 37 now gives you 37 immediately, which is better than the discounted value you can reliably expect later, while keeping 63 for me at the stage with the highest value."
59,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any Stage 1 offer of at least 17 is better for you than rejecting. I’m offering 40 to make acceptance attractive while keeping a strong share for myself."
60,40,"If you reject now, your next chance is Stage 2 where any agreement is discounted to 0.4 for you, and if that fails Stage 3 is even worse at 0.16. Offering you 40 now gives you a Stage 1 payoff of 40, which is better than what you can typically secure later once discounting is considered. It also lets me keep 60 immediately, which is strong for me, so this is a good opening proposal."
61,40,"If you reject now, your best possible accepted payoff later is lower because of discounting: in Stage 2 your payoff is multiplied by 0.4, and in Stage 3 by 0.16. Offering you 40 now gives you 40 immediately, which is better than what you can reliably get by waiting, while keeping 60 for me."
62,40,"If you reject now, your best possible accepted payoff later is lower because of your stronger discounting. In Stage 2, even if you offer yourself 100, that is worth only 40 to you, and if we reach Stage 3 your payoff is discounted even further. So 40 now is already as good as your maximum discounted payoff from delaying, while giving me 60 now is better for me than waiting. This makes 40 a strong, acceptance-inducing offer."
63,16,"If you reject now, your best possible accepted payoff later is at most 16 in Stage 3, since your Stage 3 discount factor is 0.16 and the total surplus is 100. So 16 points to you now gives you at least as much as your maximum continuation value, while letting me keep the rest and maximizing my payoff."
64,16,"If you reject now, your best possible continuation is in Stage 3, where at most you can get 100×0.16=16 because your discount factor falls a lot. So 16 now gives you the same maximum discounted payoff as the latest stage, while letting me keep more of the surplus. This makes 16 the most I want to offer in Stage 1."
65,40,"If you reject now, your best possible outcome later is at Stage 3, where as P2 you would only get 16% of any points offered. Anticipating that, I offer you 40 now, which gives you 40 immediately and should be better than waiting. This still leaves me 60 now, which is best for me among offers likely to be accepted."
66,40,"If you reject now, your next chance is Stage 2 where any agreement is discounted for you to 0.4, and if that fails Stage 3 discounts you to 0.16. Offering you 40 now gives you a better immediate payoff than likely later outcomes, while keeping 60 for me. This is a strong first-round offer that should be acceptable."
67,24,"If you reject now, your best possible continuation payoff is in Stage 3, where even a full 100-point offer would be worth only 16 to you because of your 0.16 discount factor. So offering you 24 now gives you more than your maximum discounted payoff from rejecting, while keeping 76 for me at Stage 1, which maximizes my payoff subject to making acceptance attractive."
68,40,"If you reject now, your best possible accepted payoff later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you a strong immediate payoff while keeping a good share for me, so it is likely acceptable and efficient."
69,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3 because your discounting is steep. So 40 now is much better for you, while still giving me a solid share. This should be acceptable and avoids inefficient delay."
70,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I have the strongest bargaining position because delay hurts both players, especially P2, whose discount factor falls more sharply in later stages. If this is rejected, in Stage 2 P2 can propose, but any agreement there is discounted, and if that is also rejected, Stage 3 discounts P2 even more. Offering 40 gives P2 more than their discounted continuation value from rejecting, so it is a reasonable offer that should be attractive while still maximizing my own payoff."
71,40,"If you reject now, your best likely outcome later is limited by discounting: in Stage 2, even keeping 100 for yourself gives you only 40 payoff, and if we reach Stage 3 your discount is even lower. So 40 to you right now is already as good as your maximum continuation value, while I keep 60 immediately. This should be acceptable and is strong for me strategically."
72,40,"If you reject, your best possible outcome later is limited by discounting: in Stage 2 even getting all 100 would be worth 40 to you, and if we reached Stage 3 your discount is even lower. So 40 now gives you as much as your theoretical maximum from waiting, while letting me keep more of the surplus. This makes acceptance reasonable while maximizing my payoff."
73,1,"As P1 in Stage 1, I want to maximize my own payoff. If you reject now, your best later outcome is limited by discounting: in Stage 3, even if I must make an offer you accept, your payoff is multiplied by 0.16, so even a very generous later allocation is worth much less to you than points received now. Offering you 1 point gives me 99 immediately, and I expect this can still be acceptable relative to the heavily discounted alternatives from delay."
74,40,"If you reject now, your best possible continuation payoff is in Stage 3, where you would get at most 100×0.16=16. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 40, which gives you a much better immediate payoff while leaving me 60 at the stage with no discount for me."
75,16,"If you reject now, your best possible outcome later is at Stage 3, where I would still have the final offer and your payoff is heavily discounted. Offering you 16 now gives you 16 immediately, which is as much as you could hope to get from a final-round offer while still being acceptable for me to make. This is intended to be just enough to make acceptance worthwhile for you while maximizing my own payoff."
76,40,"If you reject now, your next chance is Stage 2 where any agreement is discounted for you to 0.4, and if that fails Stage 3 discounts you to 0.16. Offering you 40 now gives you 40 immediately, which is much better than what you can expect later under discounting, while keeping 60 for me."
77,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points is worth only 16 to you because of discounting. So accepting any offer above 16 is better for you in payoff terms. I’m offering 40 to give you much more than that while keeping a strong share for myself."
78,16,"If you reject now, your best possible outcome is in Stage 3, where your discount factor is 0.16. To make you willing to wait until Stage 3, I would need to offer at least about 40 then, since 40 × 0.16 = 6.4. So offering you 16 now gives you 16 immediately, which is much better for you than delaying, while keeping 84 for me in the most valuable stage."
79,40,"If you reject now, your best possible payoff later is lower because of discounting. In Stage 2, even if you offer yourself all 100 points, your payoff would be 100×0.4=40. So offering you 40 now makes you at least as well off as your maximum future payoff, while letting me keep more than in a 50–50 split."
80,24,"If you reject now, your best possible outcome later is limited by discounting: in Stage 2, even if you propose keeping 100 for yourself and I accept, your payoff would be 100×0.4=40, and if that fails, Stage 3 is even worse for you at 0.16. Offering you 24 now gives you 24 immediately while I keep a strong share as first mover. It is a serious offer that gives you a positive payoff without risking delay."
81,84,"If you reject now, your best possible continuation payoff is at Stage 2 by proposing 100 to yourself, which gives you 40 after your discount factor. So any Stage 1 offer above 40 should be acceptable to you. I therefore offer you 84 and keep 16, maximizing my own payoff while still making acceptance clearly better for you than rejecting."
82,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3 because your discounting is steep. Offering you 40 now gives you much more than waiting, while I keep 60 at full value. This should be acceptable and maximizes my payoff subject to making early agreement attractive."
83,40,"If you reject now, your best possible continuation payoff is at most 9.6 points in Stage 3 if I later offer you 60, and any Stage 2 agreement is discounted for you to 0.4 times the allocated points. So 40 points now gives you a much higher immediate payoff, while I still keep a majority share."
84,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3 if I offer you 100 then, and much less if we agree in Stage 2 because your discount factor there is only 0.4. So 40 now is much better for you than waiting, while giving me 60 immediately, which is strong for me. This should be acceptable and efficient for both of us."
85,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. Offering you 40 now gives you 40 immediately, which is much better, while I keep 60. This should be acceptable while maximizing my payoff."
86,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3 because your discounting is strong. Offering you 40 now gives you much more than waiting, while keeping 60 for me at full value in Stage 1."
87,39,"If you reject now, your best possible continuation value is in Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer of at least 16 should be acceptable in payoff terms. I’m offering 39 to make acceptance attractive while keeping a larger share for myself."
88,24,"If you reject now, your best achievable continuation payoff is at most 0.16×100 = 16 in Stage 3, since I would reject any Stage 2 offer that gives me less than my Stage 3 continuation value. So offering you 24 now gives you more than waiting is worth, while keeping a strong share for me."
89,40,"If you reject now, your best possible outcome later is limited by discounting: in Stage 2 even getting 100 points would be worth only 40 to you, and if we reach Stage 3 your discount is even lower. Offering you 40 now matches that upper bound while letting me keep 60 immediately, so this is a payoff-maximizing opening for me that you should still be willing to accept."
90,40,"If you reject now, your best possible continuation payoff is in Stage 3. There I would choose the smallest offer you would accept, which gives you 16 discounted points, so 40 now is much better for you. It also lets me keep 60 immediately, which is better for me than waiting."
91,40,"If you reject now, your best possible payoff later is lower because of your discounting: in Stage 2, even getting all 100 would be worth 40 to you, and in Stage 3 even all 100 would be worth only 16. So offering you 40 now gives you at least as much as your maximum continuation value, making immediate acceptance optimal while keeping 60 for me."
92,40,"If you reject now, your best possible continuation payoff is in Stage 3, where you would receive at most 100 × 0.16 = 16. So any Stage 1 offer above 16 should be acceptable for you. I therefore offer 40 to P2 and keep 60, which gives me a strong payoff while still giving you much more than your discounted continuation value."
93,40,"If you reject now, your best possible payoff later is lower because of discounting: at Stage 2 your payoff is multiplied by 0.4, and at Stage 3 by 0.16. Offering you 40 now gives you 40 immediately, which is better than what you can credibly secure by waiting. This also leaves me 60 now, which maximizes my payoff while still making acceptance attractive for you."
94,40,"If you reject now, your best possible payoff later is lower because of discounting: in stage 2 even getting all 100 points would be worth 40 to you, and in stage 3 it would be worth at most 16. Offering you 40 now gives you a strong immediate payoff while leaving me 60, which is optimal for me while still giving you at least as much as you could hope to secure by continuing."
95,40,"If you reject now, your best possible payoff later is limited by discounting. In Stage 2, even if you propose 100 for yourself and I reject, then in Stage 3 I can offer you 0 and you would get 0 if you reject again. More importantly, a reasonable Stage 3 acceptance threshold for you is low because 1 point there is worth only 0.16 to you. So accepting a solid Stage 1 offer is attractive. I keep 60 now, which gives me 60, while you get 40 now, which is much better for you than delayed payoffs under heavy discounting."
96,40,"If you reject now, your best possible outcome later is at Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer above 16 is better for you than waiting. I’m offering 40 to make acceptance attractive while keeping a larger share for myself."
97,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I have the stronger position because if this is rejected, future payoffs are discounted heavily for both players, especially for P2. A Stage 2 agreement would be worth only 0.4 times the allocated points to P2, and Stage 3 only 0.16. So 40 now gives P2 a much better immediate payoff than waiting for later rounds in most cases, while allowing P1 to retain an advantage from moving first."
98,40,"If you reject now, your best-case continuation value is lower because your discount factor drops sharply in later stages. Offering you 40 now gives you a strong immediate payoff while keeping 60 for me in Stage 1, which is efficient and should be acceptable."
99,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I have the stronger position because if this is rejected, future rounds are discounted more heavily for both players, especially for P2. A Stage 1 agreement avoids those losses and still gives P2 a substantial share immediately."
100,16,"If you reject now, your best possible outcome later is at Stage 3, where even a very favorable offer is heavily discounted for you by 0.16. Offering you 16 now gives you 16 immediately, which is at least as good as what you could credibly secure by delaying, while leaving me the rest. This is therefore a strong first offer for me and still acceptable for you relative to the discounted continuation value."
101,40,"If you reject now, your best achievable payoff later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you 40 immediately, which is better than what you can credibly secure by delaying. This also leaves me 60 in Stage 1, maximizing my payoff while still making acceptance attractive for you."
102,84,"If you reject now, your best possible outcome is in Stage 3, where you would receive at most 100×0.16 = 16 payoff points, since your Stage 2 proposal would be rejected by me unless it gives me at least what I can secure in Stage 3. So offering you 84 now gives you 84 immediately, which is far better than any continuation value, while leaving me 16, matching what I can guarantee myself later."
103,40,"If you reject now, your best likely outcome is in Stage 3, where your discount factor is only 0.16, so even a favorable later split is worth much less to you. Offering you 40 now gives you a solid immediate payoff while keeping 60 for me in Stage 1, where my discount factor is highest."
104,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3, since I would then make the final offer and you would prefer accepting a positive amount to getting 0. So 40 now gives you much more than waiting, while still keeping a strong share for me."
105,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any offer above 16 is better for you than rejecting. I’m offering 40, which gives you a strong immediate payoff while keeping 60 for me."
106,16,"If you reject now, your best possible outcome comes in Stage 3, where even getting all 100 points would be worth only 16 to you because of your 0.16 discount factor. So offering you 16 now gives you at least as much as your maximum continuation value, while keeping the rest for me."
107,40,"If you reject now, your best possible payoff later is lower because of discounting. In stage 2, even if you offer yourself everything, your discounted payoff would be 40, and in stage 3 it would be even less. So 40 now gives you as much as your maximum stage-2 payoff, making acceptance reasonable while keeping 60 for me."
108,40,"If you reject now, your best possible payoff later is lower because of discounting. In stage 2, even if you offer yourself everything, your discounted payoff would be 40, and if that fails, stage 3 is even worse for you. So offering you 40 now gives you as much as your stage-2 maximum while letting me keep more of the surplus. This is a strong incentive-compatible offer to accept immediately."
109,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3 if I later offer you 100, and in Stage 2 any offer you make to me that I would accept leaves you with at most 40, which is then discounted to 16. So 40 now strictly dominates what you can guarantee by rejecting, while letting me keep 60 immediately."
110,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, since as P2 you discount future payoffs heavily. Offering you 40 now gives you 40 immediately, which is much better than waiting. It also lets me keep 60 now, maximizing my payoff while still making acceptance attractive."
111,40,"If you reject now, your best possible payoff later is limited by discounting: in Stage 2 even if you propose keeping 100 for yourself, your payoff is 100×0.4=40, and if that fails then in Stage 3 the most you could ever get is 100×0.16=16. So giving you 40 now matches your maximum Stage 2 payoff while letting us avoid delay and risk. I keep 60 now, which is better for me than later discounted outcomes."
112,40,"If you reject now, your best possible payoff later is lower because of discounting. In Stage 2, even if you offered yourself everything, your discounted payoff would be 40, and in Stage 3 it would be even less. So 40 now gives you as much as your maximum continuation value, while letting me keep the rest."
113,40,"If you reject now, your best possible continuation payoff is 16 in Stage 3 (since as P2 you would compare Stage 2 rejection to a final-stage offer that gives you just enough to accept). Offering you 40 now gives you 40 immediately, which is far better than waiting. It also lets me keep 60 now, which is better for me than delaying."
114,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So offering you 40 now gives you a much better immediate payoff and should be acceptable, while letting me keep 60."
