trial,Offer_to_P2_stage1,Reason
17,0,"As P1 in Stage 1, I maximize my payoff by offering 0. If you reject, your best possible payoff later is lower because your discount factor falls to 0.4 in Stage 2 and 0.16 in Stage 3, so this is the strongest position for me."
18,40,"I propose giving P2 40 and keeping 60. As P1 in Stage 1, I have a stronger position because if this is rejected, future payoffs are discounted for both sides, especially for P2. Offering 40 gives P2 a solid immediate payoff while letting me keep a larger share consistent with the first-mover advantage."
19,40,"If you reject now, your best possible payoff later is lower because of discounting. In Stage 2, even if you offer yourself all 100 points and I accepted, your payoff would be 100×0.4=40. So offering you 40 now gives you as much as your maximum possible continuation payoff, while leaving me 60 now, which is best for me among offers you should be willing to accept."
20,40,"If you reject now, your best possible payoff later is much lower because your discount factor drops sharply. In Stage 2, even if you propose keeping 100 for yourself, your payoff would be 100×0.4=40, and I could reject and make you worse off in Stage 3. So 40 now gives you as much as your theoretical best later, while letting me keep 60 immediately. This makes acceptance reasonable and maximizes my payoff among offers you should be willing to accept."
21,62,"P2 can expect at most 16 points in discounted payoff if this goes to stage 3, and if stage 1 is rejected then in stage 2 P2 would rationally offer P1 about 36 and keep 64, worth 25.6 to P2 after discounting. So offering 62 now gives P2 a stage-1 payoff of 62, which is far above continuation values and should be accepted, while maximizing my own payoff subject to likely acceptance."
22,16,"If you reject now, your best possible outcome is at Stage 3, where you would receive at most 16 effective points because your discount factor there is 0.16. Offering you 16 now matches that upper bound while letting me keep the rest, so this is my payoff-maximizing opening proposal."
23,40,"If you reject, your best likely outcome later is limited by discounting: in Stage 2 even getting all 100 would be worth 40 to you, and if that fails Stage 3 is even worse. Offering you 40 now gives you as much as your theoretical maximum continuation value, while I keep 60 immediately."
24,41,"If you reject now, your best possible continuation value is at most 0.16×100 = 16 in Stage 3, since as P1 I would make the final offer then. So any Stage 1 offer above 16 should be acceptable for you. Offering you 41 gives me 59 immediately, which is better for me than waiting, while still giving you a strong incentive to accept now."
25,40,"If you reject now, your best possible payoff later is lower because of discounting: at Stage 2 your payoff is multiplied by 0.4, and at Stage 3 by 0.16. Offering you 40 now gives you 40 immediately, which is better than what you can credibly expect by delaying. It also lets me keep 60 now, which maximizes my payoff while still making acceptance attractive."
26,39,"If you reject now, your best possible outcome later is 16 points in Stage 3, since I can then offer you 100-84=16 and keep 84, matching my Stage 2 acceptance threshold. So 39 now gives you much more than waiting, while still giving me a strong share."
27,20,"As P1 in Stage 1, I want to maximize my payoff while still making an offer that may be acceptable. If you reject now, your best later opportunity is limited by discounting: in Stage 2 even getting all 100 points would be worth 40 to you, and if that fails, Stage 3 is even worse for you. Offering you 20 now gives you 20 immediately, which is better than the discounted value of many later outcomes, while keeping 80 for me."
28,64,"If you reject now, your best possible outcome is at Stage 3, where as P2 you would value points at 0.16 each. Since I would then prefer to keep at least 36 for myself, the most you could hope to get accepted there is 64, worth 10.24 to you. So offering you 64 now gives you 64 immediately, which is far better than rejecting. It also leaves me 36 now, which is better for me than waiting."
29,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3, because your discount factor falls a lot. Offering you 40 now should be attractive enough to accept, while keeping 60 for me at the stage with the highest value."
30,40,"If you reject now, your best possible payoff later is lower because of your discounting. In Stage 2, even if you propose keeping everything, your discounted payoff would be 40, and if that fails then Stage 3 is even worse for you. So 40 now gives you as much as your Stage 2 maximum, while letting us settle immediately."
31,40,"If you reject, your best likely outcome later is lower because your discount factor drops a lot in later stages. Offering you 40 now gives you a solid immediate payoff while keeping 60 for me at the stage with the highest value. This is a strong but realistic opening offer designed to be acceptable now."
32,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any Stage 1 offer above 16 is better for you than rejecting and waiting. I’m offering 40 to P2 and keeping 60, which should be attractive for you while giving me a strong payoff."
33,40,"If you reject now, your best possible continuation value is at most 16 points in Stage 3 if I offer you 100 then, since your Stage 3 discount factor is 0.16. In Stage 2 you can propose, but I can reject and still do better later. So 40 to you now is much better than waiting, and it gives me a strong payoff as P1."
34,40,"If you reject now, your best possible outcome later is limited by discounting: in Stage 3, even getting all 100 points would be worth only 16 to you, and in Stage 2 any offer you make still faces my acceptance decision. Offering you 40 now gives you a sure payoff of 40 immediately, which is much better than waiting, while keeping 60 for me at the stage with the highest value."
35,20,"If you reject now, your best possible outcome later is limited by discounting: in Stage 2 even getting all 100 points would be worth 40 to you, and in Stage 3 any accepted offer is worth only 0.16 per point. Offering you 20 now gives you 20 immediately while keeping 80 for me, and it should be acceptable given your weak continuation value."
36,40,"If you reject now and wait, your best possible discounted payoff later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you 40 immediately, which is better than what delay is likely to yield, while keeping 60 for me maximizes my payoff subject to making early agreement attractive."
37,40,"If you reject now, your best possible outcome later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you 40 points immediately, which is better than what you can reliably secure after delay. This proposal also keeps 60 for me, so it is strong for me while still giving you a good reason to accept."
38,16,"If you reject, your best possible outcome later is at most 16 points in Stage 3 because your discount factor there is 0.16 and I can then offer 100 to you, worth 16. So offering you 16 now should be just enough for acceptance while maximizing my own payoff."
39,40,"If you reject now, your best realistic outcome comes later with heavy discounting: even getting 100 in Stage 3 would be worth only 16 to you, and in Stage 2 your discount factor is 0.4. Offering you 40 now gives you 40 immediately, which is far better than delayed agreement, while I keep 60."
40,40,"If you reject now, your next opportunity is Stage 2 where any agreement is discounted heavily for you, and if that also fails then Stage 3 is even worse. Offering you 40 now gives you a strong immediate payoff while letting me keep 60, which is better for me than waiting. It is also high enough to make acceptance preferable to the likely discounted continuation."
41,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I have the stronger position because if this is rejected, future rounds are discounted heavily, especially for P2. If we go to Stage 2 and then Stage 3, P2’s payoff shrinks a lot. Offering 40 gives P2 a solid immediate payoff while letting P1 retain an advantage consistent with moving first."
42,40,"If you reject now, your best possible continuation payoff comes in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any offer above 16 is better for you than rejecting. I’m offering 40, which gives you a strong immediate payoff while keeping a larger share for myself."
43,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, since as P2 you would only get your share times 0.16 then. Offering you 40 now gives you 40 immediately, which is much better, while letting me keep 60."
44,40,"If you reject now, your best guaranteed outcome later is much lower because of discounting. In Stage 3, even if I need your acceptance, giving you 40 already yields you 40 now versus only 16 if you got the full 100 in Stage 3. So 40 is enough to make acceptance attractive while keeping me a strong share."
45,40,"If you reject, your best possible continuation value is at most 16 in Stage 3 (for example, if I offer you 100 then, it is discounted by your 0.16 factor). So offering you 40 now gives you a much better immediate payoff and should be acceptable, while keeping 60 for me maximizes my payoff subject to making acceptance attractive."
46,40,"If you reject now, your best possible payoff later is lower because of discounting. In Stage 2, even if you offer yourself 100, your discounted payoff would be 40, and I would reject such an offer if it gives me too little. A Stage 1 offer of 40 gives you 40 immediately, which matches your maximum discounted Stage 2 payoff and is far better than any Stage 3 outcome for you. This makes 40 a strong take-it-now offer while keeping 60 for me."
47,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, since as P1 I could then offer you 100 and your discount factor there is 0.16. So offering you 40 now gives you much more than waiting, while I keep 60 immediately, which is better for me than delaying."
48,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3 if I later offer you everything, and in Stage 2 any offer you make to me must still be acceptable to me given my Stage 3 fallback. Offering you 40 now gives you 40 immediately, which is far better than your discounted alternatives, while I keep 60."
49,40,"If you reject now, your best possible outcome later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you a strong immediate payoff while letting me keep 60. This should be acceptable and avoids inefficient delay."
50,24,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, because even if I later offer you everything, your Stage 3 discount factor is 0.16. So 24 now is better than waiting. It also leaves me 76 now, which maximizes my payoff while still giving you a strong incentive to accept immediately."
51,40,"If you reject now, your best possible outcome later is lower because of discounting. In stage 2, even if you propose keeping 100 for yourself, your payoff would be 100×0.4=40, and if that fails, stage 3 is even worse for you. So offering you 40 now gives you as much as your stage-2 maximum in current-value terms, while letting me keep 60. This is therefore a payoff-maximizing offer for me that you should still be willing to accept."
52,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, because I can then offer you 100 and your discount factor is 0.16. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 40 to make acceptance attractive while keeping a strong share for myself."
53,40,"If you reject now, your best possible outcome is in Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. So accepting any Stage 1 offer of at least 17 is better for you than what you can guarantee by rejecting. I’m offering 40, which gives you a strong immediate payoff while keeping a larger share for myself."
54,40,"If you reject now, your best realistic outcome later is limited by discounting: in stage 2 even getting all 100 would be worth 40 to you, and if we reach stage 3 the total value is even lower for both of us. Offering you 40 now gives you as much as your maximum discounted stage-2 payoff, while letting me keep 60 immediately. This should be acceptable and avoids inefficient delay."
55,16,"If you reject now, your next guaranteed opportunity is to make a Stage 2 offer, but any agreement there is discounted for you to 0.4, and if that fails, Stage 3 discounts you further to 0.16. Offering you 16 now gives you 16 points immediately, which is as good as or better than what you can reasonably secure later once discounting is considered. This also lets me keep a larger share, which is in my interest as P1."
56,40,"If you reject now, your best possible continuation value is at most 9.6 points in Stage 3, because I would then make the final offer and you are heavily discounted. Offering you 40 now gives you a much better payoff immediately, while I still keep a solid share. This should be acceptable and avoids losses from delay."
57,16,"If you reject now, your best possible payoff later is at most 16 in Stage 3 because your discount factor then is 0.16 and I could offer 100 to you there. So 16 now matches your maximum continuation payoff while letting me keep more of the surplus. This makes accepting now reasonable for you and gives me the highest payoff I can secure under backward induction."
58,40,"If you reject now, your best possible accepted payoff later is lower because of your discounting: in Stage 2, even getting all 100 points gives you 40 payoff, and in Stage 3 even getting all 100 gives you only 16 payoff. So 40 now is a strong offer for you while leaving me 60 immediately, which is better for me than delaying."
59,40,"If you reject now, your best possible payoff later is at most 16 points in Stage 3, since I would then make the final offer and you are heavily discounted. Offering you 40 now gives you much more than your continuation value while keeping a strong share for me, so it is a favorable deal for both of us."
60,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any offer above 16 is better for you in pure payoff terms. I’m offering 40 to make acceptance attractive while keeping a strong share for myself."
61,40,"If you reject now, your best possible outcome later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you a strong immediate payoff, while letting me keep 60 is better for me than delaying. This is a credible offer that should be acceptable immediately."
62,60,"If you reject, your best possible payoff later is at most 16 in Stage 3, since I would then make the final offer and you are heavily discounted. So 60 now gives you much more than waiting, while still leaving me 40 immediately, which is better for me than risking delay."
63,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2 even getting all 100 points would be worth 40 to you, and in Stage 3 at most 16. So 40 now is the most I can offer while still maximizing my own payoff and giving you at least as much as your theoretical maximum from continuing."
64,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any offer above 16 is better for you than rejecting. I’m offering 40 to make acceptance attractive while keeping 60 for myself."
65,40,"If you reject now, your best possible outcome later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you 40 points immediately, which is better for you than waiting, while keeping 60 for me."
66,40,"If you reject now, your best possible continuation value is limited by discounting. In Stage 2 you could offer me 0 and keep 100, but that would give you only 40 effective points because your Stage 2 discount factor is 0.4. In Stage 3, even if you got everything, your payoff would be at most 16 because your discount factor is 0.16. So 40 now matches your Stage 2 best-case and is much better than Stage 3, while letting me keep 60 immediately."
67,40,"If you reject now, your best possible continuation payoff is in Stage 3, where you would receive 0.16 times whatever I offer then. Since I can offer 0 in Stage 3 and still do at least as well as rejecting in Stage 2, rejection is risky for you. Offering you 40 now gives you a sure payoff of 40 immediately, while I keep 60. This is favorable for me but still substantial for you, so it has a good chance of being accepted."
68,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even receiving 100 points would be worth only 16 to you because of discounting. So accepting any Stage 1 offer above 16 is better for you in payoff terms. I’m offering 40, which gives you a strong immediate payoff while keeping a majority for myself."
69,40,"If you reject now, your best possible outcome later is 16 points in Stage 3, since I would then make the final offer and you are heavily discounted. So 40 now is much better for you than waiting, while still giving me a strong share."
70,40,"If you reject now, your next chance is Stage 2 where any agreement is discounted for you to 0.4, and if that fails Stage 3 discounts you even more to 0.16. Offering you 40 now gives you a solid immediate payoff and should be better for you than risking delay, while keeping 60 for me maximizes my payoff given that I make the first offer."
71,16,"If you reject now, your best possible outcome is in Stage 3, where as P2 you would only get 0.16 times whatever I offer then. Since I can always offer 0 in Stage 3 and you would be indifferent to accepting versus rejecting, your continuation value is effectively 0. So offering you 16 now gives you a positive payoff immediately while keeping most of the surplus for me."
72,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3 because your discount factor falls sharply. So 40 now is much better for you, while letting me keep 60 now is also best for me compared with delayed agreement."
73,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, reaching agreement now is valuable because later-stage payoffs are discounted for both players, especially for P2. If we move to Stage 2, P2 can propose, but their payoff there is multiplied by 0.4, and in Stage 3 by 0.16. An immediate agreement gives P2 a higher effective payoff than waiting for a similar nominal offer later, while still leaving P1 with a strong share."
74,40,"If you reject now, your best possible payoff later is lower because of discounting. At Stage 3, even if I offered you everything, your payoff would be only 100×0.16=16. So in Stage 2, the most you can credibly get accepted from me corresponds to that continuation value, meaning I would accept only if my discounted payoff there is at least what I can guarantee in Stage 3. That implies I would accept giving you at most 46 in Stage 2, which would give you 46×0.4=18.4. To make acceptance attractive right now, I offer you 40, which gives you 40 immediately and is much better than waiting."
75,40,"If you reject now, your best possible accepted outcome later is worth less because of your discounting: at Stage 3, even getting all 100 points would be worth only 16 to you, and in Stage 2 any offer you make still has to be accepted by me. Offering you 40 now gives you a strong immediate payoff while leaving me 60 at full value, so it is a favorable and efficient agreement to accept."
76,40,"If you reject now, your best possible payoff later is lower because of your discounting. In stage 2, even if you offer yourself 100, that would be worth only 40 to you, and if we reach stage 3 your discount is even worse. So offering you 40 now gives you as much as your theoretical maximum from waiting, while letting me keep 60 immediately. This is a payoff-maximizing stage-1 offer for me that you should still be willing to accept."
77,0,"As P1, I maximize my payoff by offering 0 now. If you reject, your future bargaining position is weakened by discounting, especially since your stage-2 and stage-3 payoffs are heavily discounted. So 0 is my payoff-maximizing opening offer."
78,40,"If you reject now, your best possible continuation value is lower because of your discounting. In Stage 2, even if you propose 64 to yourself and I accept, your payoff would be 64×0.4=25.6, and in Stage 3 the most you could ever get is 100×0.16=16. So offering you 40 now gives you a better immediate payoff than waiting, while keeping a strong share for me."
79,40,"If you reject now, your best possible payoff later is lower because your discount factor drops a lot in later stages. Offering you 40 now gives you a strong immediate payoff while keeping a larger share for me as P1 in stage 1, so it is a good balance and should be acceptable."
80,20,"If you reject now, your best possible outcome later is lower because of discounting. In Stage 2, even if you propose keeping 100 for yourself, your payoff would be 100 × 0.4 = 40, and if that fails, in Stage 3 your discount is only 0.16. Offering you 20 now gives you 20 immediately while keeping a strong share for me as the first mover."
81,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2, even if you offer yourself 100, your payoff would be 100×0.4=40, and if that is rejected, Stage 3 is even worse for you. So offering you 40 now makes acceptance reasonable while keeping a larger share for me."
82,40,"If you reject now, your best possible outcome later is 16 points in Stage 3, since I can then offer you 100 and your discount factor is only 0.16. So 40 now is much better for you than waiting, while still giving me a strong share at Stage 1."
83,16,"If you reject now, your best possible outcome is at Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So 16 now gives you at least as much value as your maximum continuation payoff, while letting me keep the rest. This is the payoff-maximizing opening offer for me."
84,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2 even getting 100 points would be worth 40 to you, and in Stage 3 even 100 points would be worth 16. So 40 points now is a strong offer that gives you as much as your absolute maximum discounted value in Stage 2, while letting me keep a reasonable share."
85,39,"If you reject now, your best possible payoff later is 16×100=16 in Stage 3 unless I accept a Stage 2 offer, and as P1 I would compare any Stage 2 offer to what I can guarantee myself in Stage 3. In Stage 3 I can offer you 0 and keep 100, giving me 36 discounted points, so in Stage 2 I would only accept if I get at least 60, which would give you at most 40 and only 16 discounted points. Offering you 39 now gives you 39 immediately, which is much better for you than rejecting, while keeping 61 for me now, which is also best for me among offers you should accept."
86,40,"If you reject now, your best possible payoff later is lower because of discounting: at Stage 2 your payoff is multiplied by 0.4, and at Stage 3 by 0.16. Offering you 40 now gives you 40 immediately, which is better than what you can credibly secure by delaying. This proposal is favorable for me while still giving you a strong incentive to accept."
87,40,"If you reject now, your best possible outcome later is limited by discounting: in Stage 2 you would value points at 0.4 each, and if that fails then in Stage 3 only at 0.16 each. Offering you 40 now gives you 40 immediately, which is better than the discounted value of waiting, while still leaving me a strong share as P1."
88,40,"If you reject now, your best possible continuation payoff is at Stage 2, where you can propose keeping 100 for yourself and would get at most 100×0.4=40 if I accepted. So 40 now gives you the same maximum payoff without delay, while I keep 60. This is a payoff-maximizing opening offer for me that you should be willing to accept."
89,40,"If you reject now, your best possible accepted payoff later is lower because your discount factor falls sharply. A stage-2 offer giving me 60 would give you 40×0.4=16, and even in stage 3, getting 100 would be worth only 16 to you. Accepting 40 now gives you 40 immediately, so this should be attractive while still leaving me a strong share."
90,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. Offering you 40 now gives you 40 immediately, which is much better, while I keep 60."
91,16,"If you reject now, your best realistic outcome is in Stage 3, where even getting all 100 points would be worth only 16 to you because of your 0.16 discount factor. Offering you 16 now gives you the same payoff immediately, so this is the smallest offer that makes accepting weakly as good as rejecting."
92,40,"If you reject now, your best possible continuation payoff is in Stage 3, where you would need me to offer points then and your discount factor is only 0.16. Anticipating that, I propose 40 to you now, which gives you a much higher immediate payoff than waiting, while keeping a strong share for myself."
93,40,"If you reject now, your best possible payoff later is at most 16 times your stage-3 share, and stage 2 is heavily discounted for you. Offering you 40 now gives you 40 immediately, which is attractive relative to waiting, while keeping 60 for me in stage 1."
94,16,"If you reject now, your best possible payoff later is at Stage 3, where you would need me to offer you at least 16 points to match what 100 points are worth to you in Stage 2 and rejection risks ending with 0. Offering 16 gives you an immediate payoff of 16 now, while I keep 84 immediately. This is the smallest offer that should still be acceptable given the discounting."
95,39,"If you reject now, your best possible outcome later is at most 16 points in Stage 3, since I would then make the final offer and you would prefer accepting something above 0 to getting 0. So 39 now is much better for you than waiting, while still leaving me a strong payoff in Stage 1."
96,40,"If you reject now, your best possible payoff later is lower because your discount factor falls sharply (to 0.4 in Stage 2 and 0.16 in Stage 3). Offering you 40 now gives you 40 immediately, which is better than what you can guarantee by waiting, while I keep 60. This is a strong first-round offer that should be acceptable."
97,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I want a proposal that is favorable to me but still attractive enough for P2 to accept now rather than wait. Because P2 is much more heavily discounted in later stages, reaching agreement early is valuable for both sides, especially for P2."
98,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2 even getting all 100 points would be worth only 40 to you, and in Stage 3 the maximum would be 16. Offering you 40 now gives you a Stage 1 payoff of 40, which is as good as your theoretical maximum from rejecting, while letting me keep 60 now. This is a reasonable offer designed to be accepted immediately."
99,40,"If you reject now, your best possible continuation payoff is in Stage 3, where you would need me to offer you points discounted by 0.16, so even a very high later allocation is worth much less to you. Offering you 40 now gives you 40 immediately, which is better than what delay can typically deliver, while keeping 60 for me at the stage with the highest value."
100,40,"If you reject now, your next chance is Stage 2 where any agreement is discounted heavily for you to 0.4, and if that fails Stage 3 discounts you to 0.16. Offering you 40 now gives you a strong immediate payoff while letting me keep 60. This is favorable for both of us compared with delay."
101,40,"If you reject now, your best possible outcome later is at most 16 points in Stage 3 because your discounting is steep and I can offer very little then. So 40 now is much better for you than waiting, while still leaving me a strong share."
102,40,"If you reject now, your best possible payoff later is lower because of your discounting: in Stage 2 even getting all 100 would be worth 40 to you, and in Stage 3 even 100 would be worth 16. So 40 now is at least as good as your theoretical maximum after rejection, and it lets me keep 60 immediately. This is a strong first offer for acceptance while maximizing my payoff."
103,60,"If you reject now and we continue, your maximum credible payoff later is lower because of discounting: in stage 2 your payoff is multiplied by 0.4, and in stage 3 by 0.16. Offering you 60 now gives you a strong immediate payoff and should be acceptable, while still leaving me 40."
104,40,"If you reject now, your best possible payoff later is lower because your discount factor drops sharply. At stage 2, even if you offered yourself everything, you would get 100×0.4=40, and if that failed, stage 3 would be even worse for you. So offering you 40 now gives you as much as your theoretical stage-2 maximum, while leaving me 60 immediately. This is a strong stage-1 offer and should be acceptable."
105,40,"If you reject now, your best possible payoff later is lower because of your discounting: in Stage 2 even getting all 100 points is worth 40 to you, and in Stage 3 even getting all 100 is worth 16. Offering you 40 now gives you 40 immediately, which is at least as good as your maximum continuation value, while leaving me 60 now."
106,40,"If you reject now, your best possible continuation payoff is at most 16 in stage 3, since even getting all 100 there is discounted by 0.16 for you. So 40 now is far better for you than waiting, while giving me 60 immediately, which is also better for me than delaying."
107,40,"If you reject now, your best possible outcome later is limited by discounting. In Stage 2, even if you offer yourself everything, your payoff would be 100×0.4=40. In Stage 3, the maximum would be 100×0.16=16. So offering you 40 now gives you as much as your theoretical best continuation value, while letting me keep 60 immediately."
108,40,"If you reject now, your best possible outcome later is lower because of your stronger discounting: in Stage 2, even if you propose keeping 100 for yourself, your discounted payoff would be 40, and if that fails, Stage 3 is even worse for you. So 40 to you now is enough to make accepting reasonable, while giving me 60 now maximizes my payoff."
109,24,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. So offering you 24 now gives you more than any delayed agreement can. That should make acceptance optimal, while I keep 76 at Stage 1, which maximizes my payoff among offers you should rationally accept."
110,40,"If you reject now, your best possible outcome later is lower because your discount factor falls to 0.4 in stage 2 and 0.16 in stage 3. Offering you 40 now gives you 40 immediately, which is better than what you can credibly secure by delaying. It also lets me keep 60 now, which is better for me than risking later rounds."
111,40,"If you reject now, your best possible payoff later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you 40 immediately, which is better than the delayed alternatives, while keeping 60 for me maximizes my payoff among offers you should rationally accept."
112,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2, even getting all 100 points would be worth 40 to you, and in Stage 3 the maximum is only 16. Offering you 40 now gives you 40 immediately, which matches your Stage 2 maximum and exceeds anything you could guarantee in Stage 3, while letting me keep 60."
113,40,"If you reject now, your best possible outcome later is lower because your discount factor drops sharply in later stages. Offering you 40 now gives you a solid immediate payoff while keeping 60 for me. This is favorable for me but still reasonable enough to encourage acceptance."
114,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any offer above 16 is better for you in payoff terms. I’m offering 40 to make acceptance attractive while keeping 60 for myself."
115,40,"I offer P2 40 and keep 60 because as P1 I move first and both players are more patient/valuable earlier than later, especially for me. If stage 1 fails, any later agreement is discounted for both sides, so an immediate deal creates more total value. Offering 40 is substantial and gives P2 more than the discounted value they can reliably expect by waiting, while preserving a strong share for me as the first mover."
116,40,"If you reject now, your best possible payoff later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 now gives you 40 immediately, which is better than the most you could guarantee yourself by delaying. This should be acceptable while keeping 60 for me."
117,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer above 16 should be acceptable for a payoff-maximizing P2. I’m offering 40 to make acceptance attractive while keeping 60 for myself."
118,40,"If you reject now, your best possible payoff later is lower because your discounting is steep: even if you got everything in Stage 2, that would be worth 40 to you, and in Stage 3 even 100 would be worth only 16. Offering you 40 now gives you 40 immediately, which matches your Stage 2 maximum and is far better than any Stage 3 outcome, while I keep 60 now. This is a strong offer for immediate agreement."
