Whether_to_accept_P1_offer_stage1,Reason_for_accepting_if_ACCEPT,Reason_for_rejecting_if_REJECT,Offer_to_P1_if_rejected_proceed_to_stage2,Trial,HumanP1toAIP2stage1
False,,"Rejecting 0 is optimal for me because accepting gives me 0 payoff, while by rejecting I can make a counteroffer in Stage 2 and secure a positive payoff.",40,20,0
False,,"Rejecting is better for me because accepting now gives me only 1 point, while by rejecting I can make the Stage 2 offer. Since my Stage 2 discount factor is 0.4, I should demand at least 3 points for myself there to beat the value of accepting 1 now, and I can likely secure much more than that. So accepting 1 is far too low.",40,1,1
False,,Rejecting 1 point is optimal because as P2 in Stage 2 I can make a counteroffer that gives me much higher expected payoff than accepting 1 now.,90,2,1
False,,"Rejecting 1 is better because in Stage 2 I can make the offer. If Stage 2 agreement gives me x points, my payoff is 0.4x, so to beat the current payoff of 1 I only need more than 2.5 points for myself. Since I control the next offer, rejecting is clearly better than accepting 1 now.",60,3,1
False,,"Rejecting is better because accepting 1 now gives me payoff 1, while after rejection I can make the Stage 2 offer and secure much more than that. I only need at least 3 points in Stage 2 to beat this offer after discounting, so 1 is far too low.",40,4,1
False,,"Rejecting 1 point is optimal because if I reject now, I make the Stage 2 offer. In Stage 3, P1 can secure at most 84 points for themself by offering me 16, so at Stage 2 P1 should accept any offer giving them at least 84 points. Therefore I can offer P1 84 and keep 16, yielding me 16 × 0.4 = 6.4, which is better than accepting 1 × 1 = 1 now.",84,5,1
False,,"Rejecting 1 is better because as P2 in Stage 2 I can make a counteroffer and still do better than 1 even after discounting. Since in Stage 3 I can secure at least 16 points by accepting any offer of 16 or more, I can demand up to 60 for myself in Stage 2 and P1 should accept because that gives P1 40 now, worth 24 after discounting, which is better for P1 than waiting for Stage 3 where P1 would get at most 84 worth 30.24. So accepting 1 now is far below my continuation value.",40,6,1
False,,"Rejecting 1 point is optimal because if Stage 1 fails, I can make a Stage 2 offer that gives me much more than 1 point while still being acceptable to a rational P1 given later-stage discounting.",40,7,1
False,,"Rejecting because 1 point now is far below what I can secure by making a counteroffer in Stage 2. As P2, I can propose an allocation next, and even accounting for discounting, accepting 1 is not payoff-maximizing.",60,8,1
False,,"Rejecting 1 point is optimal because if Stage 1 fails, I make the offer in Stage 2 and can secure much more than 1 point while still giving P1 enough to prefer accepting then rather than waiting for Stage 3.",60,9,1
False,,"Rejecting is better for me because accepting 1 now gives me payoff 1, while in Stage 2 I can make a counteroffer and secure much more than that even after discounting.",40,10,1
False,,"Rejecting 1 is optimal because as P2 I can do much better in Stage 2. If I reject now, I make the next offer, and P1 should accept any Stage 2 offer giving them at least 36 points, since rejecting would lead to Stage 3 where their best credible payoff is 0.36 × 100 = 36. So I can offer P1 36 and keep 64, giving myself 0.4 × 64 = 25.6, which is far better than accepting 1 now.",36,11,1
False,,"Rejecting is better for me because accepting 1 now gives me only 1 point, while by rejecting I can make the Stage 2 offer and secure much higher discounted payoff.",40,12,1
False,,"Rejecting is better because accepting 1 now gives me only 1 point, while in Stage 2 I can make the offer and can secure a much higher discounted payoff for myself.",40,13,1
False,,"Rejecting 1 point is better because as P2 in Stage 2 I make the offer, so I can demand far more than 1 point and still leave P1 at least as well off as their likely continuation value in Stage 3.",14,14,1
False,,"Rejecting is better because accepting 1 now gives me payoff 1, while if Stage 2 is reached I can propose an allocation that gives me much more and P1 may still accept. Even in Stage 3, my continuation value is above 1, so 1 is too low.",60,15,1
False,,"Rejecting is better because accepting 1 now gives me payoff 1, while after rejection I can make the Stage 2 offer and still secure much more than 1 discounted point. In Stage 2, P1 would accept any offer giving them at least what they expect from Stage 3, which is about 36 points, so I can offer P1 36 and keep 64 for myself; my discounted payoff would then be 64 × 0.4 = 25.6, far above 1.",36,16,1
False,,"Rejecting 1 is optimal because if Stage 1 is rejected, in Stage 2 I can propose an allocation that gives P1 just enough to prefer accepting over waiting for Stage 3. In Stage 3, P1 can guarantee me at most 64 points, so P1's continuation value there is 36×0.36=12.96. Thus in Stage 2 I only need offer P1 22 points, giving them 22×0.6=13.2, slightly above 12.96, while I keep 78 and get 78×0.4=31.2. That is far better than accepting 1 now.",22,17,1
False,,"Rejecting 1 is optimal because if Stage 1 is rejected, in Stage 2 I can propose an offer that gives P1 just enough to prefer accepting over waiting for Stage 3. In Stage 3, P1 would offer me 0 and keep 100, giving P1 a discounted payoff of 36. So in Stage 2, P1 will accept any offer giving them at least 60 points, since 60 × 0.6 = 36. Therefore I can offer P1 60 and keep 40, which gives me 40 × 0.4 = 16, much better than accepting 1 now.",60,18,1
False,,"Rejecting is better because accepting 1 now gives me only 1 point, while in Stage 2 I can make the offer and secure a much higher discounted payoff by proposing a division favorable to me.",60,19,1
False,,"Rejecting is better because accepting 1 now gives me only 1 point, while if Stage 2 is reached I can propose a split that gives me much more and P1 may still accept.",40,20,1
False,,"Rejecting 2 is better because in Stage 2 I can make a counteroffer. Since my Stage 2 discount factor is 0.4, any accepted offer giving me more than 5 points there would beat the current payoff of 2, and I can credibly propose a division that gives P1 at least as much discounted payoff as they could secure by waiting for Stage 3.",40,1,2
False,,"Rejecting because 2 points now is far below what I can secure by waiting until Stage 2, where I make the offer. Even accounting for discounting, I can do much better than a payoff of 2.",60,2,2
False,,"Rejecting 2 is optimal because accepting now gives me only 2 points, while if we move to Stage 2 I make the offer and can secure much more than 2 even after my discounting. I therefore reject this very low offer and counteroffer with terms that maximize my payoff while still giving P1 at least as much as they could expect from continuing.",22,3,2
False,,"Rejecting 2 is optimal because accepting now gives me only 2 points, while if Stage 2 is reached I can propose an offer that leaves P1 just enough to prefer accepting over waiting for Stage 3. Since P1 can guarantee themselves 0.36 x 100 = 36 in Stage 3, I can offer P1 60 in Stage 2, giving them 0.6 x 60 = 36, and keep 40 for myself, worth 0.4 x 40 = 16, which is far better than 2.",60,4,2
False,,"Rejecting 2 is optimal because accepting gives me only 2 now, while by rejecting I can make the Stage 2 offer. Since any Stage 2 offer giving me more than 2 points yields a higher discounted payoff for me as long as P1 accepts, I should reject such a low offer.",40,5,2
False,,"Rejecting 2 is optimal because accepting gives me only 2 now, while after rejection I can make the Stage 2 offer and secure much more than 2 discounted points by proposing to give P1 40 and keep 60, which P1 should accept since 40 at Stage 2 exceeds P1's Stage 3 continuation value.",40,6,2
False,,"Rejecting 2 is optimal because accepting gives me only 2 now, while by rejecting I can make the Stage 2 offer. Since if Stage 2 is rejected, in Stage 3 I would accept any offer of at least 1 point (worth 0.16 to me) rather than get 0, P1's continuation value at Stage 2 is 0.36 × 99 = 35.64. So in Stage 2 I can offer P1 59 points, giving P1 59 × 0.6 = 35.4, just enough to induce acceptance, and keep 41 for myself, worth 41 × 0.4 = 16.4 to me, which is far better than 2.",59,7,2
False,,"Rejecting 2 is better because if Stage 1 is rejected, I make the Stage 2 offer. In Stage 2, P1 would compare accepting my offer with waiting for Stage 3, where they can guarantee themselves at most 36 discounted points by offering me 0. So I can offer P1 36 in Stage 2 and keep 64, giving me a discounted payoff of 64×0.4=25.6, which is far better than accepting 2 now.",36,8,2
False,,"Rejecting because 2 points now is far below what I can secure by waiting for Stage 2. In Stage 2 I make the offer, and P1 should accept any proposal giving them at least 36 points, since rejecting leads to Stage 3 where their best possible discounted payoff is 0.36 times 100 = 36. So I can offer P1 36 and keep 64 for myself, giving me a discounted payoff of 0.4 times 64 = 25.6, which is much better than accepting 2 now.",36,9,2
False,,"Rejecting is better for me because accepting now gives me only 2 points, while in Stage 2 I can make the offer and seek a much larger share.",40,10,2
False,,"Rejecting 2 because it gives me only 2 now, while by rejecting I can make the Stage 2 offer. In Stage 3, if needed, I would accept any offer giving me at least 1 point since 1×0.16>0, so P1 should be willing in Stage 2 to accept giving me 99 and keeping 1, which gives P1 1×0.6=0.6, better than 0 from rejecting. So rejecting is better for me than accepting 2 now.",1,11,2
False,,"Rejecting 2 is optimal because accepting gives me only 2 now, while if we move to Stage 2 I make the offer and can secure much more than 2 discounted points for myself by proposing an allocation favorable to me.",14,12,2
False,,"Rejecting is better because accepting 2 now gives me only 2 points, while by rejecting I can make the Stage 2 offer. Since my Stage 2 discount factor is 0.4, I should demand at least 5 points for myself there to beat 2 now; proposing 95 to P1 and 5 to me is likely acceptable for P1 and gives me a higher payoff.",95,13,2
False,,"Rejecting 2 is optimal because accepting gives me only 2 now, while by rejecting I can make the Stage 2 offer. Since any Stage 2 offer giving me more than 5 points yields a discounted payoff above 2 for me, I have a much better outside option than accepting 2.",94,14,2
False,,"Rejecting is better for me because accepting 2 now gives me only 2 points, while in Stage 2 I can make a counteroffer and should be able to secure more than that even after discounting.",40,15,2
False,,"Rejecting because 2 points now is far below what I can secure by rejecting and making the Stage 2 offer. In Stage 2, if I offer P1 36 and keep 64, P1 gets 36×0.6=21.6, which matches what P1 can guarantee in Stage 3 by offering me 40 and keeping 60. That makes 36 acceptable for P1, while I would get 64×0.4=25.6, which is much better than accepting 2 now.",36,16,2
False,,"Rejecting is better because accepting 2 now gives me only 2 points, while if Stage 2 is reached I can make the offer and secure a much higher discounted payoff than 2.",60,17,2
False,,"Rejecting 2 is optimal because accepting now gives me only 2 points, while if we move to Stage 2 I make the offer and can secure much more. Since P1 would still prefer accepting a Stage 2 offer that gives them at least 36 points over risking Stage 3, I can offer P1 36 and keep 64 for myself.",36,18,2
False,,"Rejecting is better for me because accepting 2 now gives me only 2 points, while by rejecting I can make the Stage 2 offer and can secure much more than that even after my stage-2 discount. A very low stage-1 offer is not worth accepting.",60,19,2
False,,"Rejecting is better for me because accepting 2 now gives me payoff 2, while by rejecting I can make the Stage 2 offer. Since my Stage 2 discount factor is 0.4, I only need to secure more than 5 points in Stage 2 to beat 2 now, and I can propose terms much better than that.",60,20,2
False,,"Rejecting 3 is optimal because if Stage 1 is rejected, as P2 I make the Stage 2 offer and can secure far more than 3 even after discounting. In Stage 2, P1 would accept any offer giving them at least what they can guarantee in Stage 3, which is 36 points for P2 and 64 for P1. So I can offer P1 64 and keep 36, giving myself a discounted payoff of 36×0.4=14.4, which is much better than accepting 3 now.",64,1,3
False,,"Rejecting 3 is optimal because if Stage 1 is rejected, in Stage 2 I can propose an offer that gives P1 just enough to prefer accepting over waiting for Stage 3. In Stage 3, P1 would offer me 0 and keep 100, so P1's discounted payoff from waiting is 100 × 0.36 = 36. Therefore in Stage 2 I can offer P1 60 points, which gives P1 60 × 0.6 = 36 and lets me keep 40, worth 40 × 0.4 = 16 to me. That is far better than accepting 3 now.",60,2,3
False,,"Rejecting 3 is optimal because if Stage 1 is rejected, in Stage 2 I can propose giving P1 at most 36 and keep 64 for myself, which P1 should accept since in Stage 3 P1 could secure at most 64 with discount 0.36, worth 23.04. Accepting 36 in Stage 2 gives P1 21.6, so offering 36 is sufficient and gives me Stage-2 payoff 64×0.4=25.6, far better than accepting 3 now.",36,3,3
False,,"Rejecting 3 is optimal because if Stage 1 is rejected, I can make the Stage 2 offer. In Stage 3, P1 can guarantee me at most 0 points by offering 0 and I would accept, so my continuation value at Stage 2 is 0. Therefore I can demand the entire 100 in Stage 2 and offer P1 0, which P1 should accept since rejecting leads to 0 in Stage 3. This gives me a Stage 2 payoff of 100 × 0.4 = 40, which is far better than accepting 3 now.",0,4,3
False,,"Rejecting 3 is optimal because if Stage 1 fails, I can make the Stage 2 offer. In Stage 3, P1 can guarantee themself 64 points by offering me 36, so in Stage 2 P1 should accept any offer giving them at least 64 points. Therefore I can offer P1 64 and keep 36; my discounted payoff would be 36×0.4=14.4, which is far better than accepting 3 now.",64,5,3
False,,"Rejecting 3 is better because in Stage 2 I can make the offer, and even accounting for my discount factor, I can propose terms that give me far more than 3 points while still being acceptable to P1.",40,6,3
False,,"Rejecting 3 is optimal because if Stage 1 fails, I can make the Stage 2 offer. To make P1 accept in Stage 2, I only need to give P1 at least what they expect from Stage 3: 0.36 times their Stage 3 share. In Stage 3, P1 can secure almost all of the 100 points by offering me 0, so their continuation payoff is about 36. Therefore in Stage 2 I can offer P1 60 points, which gives them 60×0.6=36 and leaves me 40 points, worth 40×0.4=16. That is far better for me than accepting 3 now.",60,7,3
False,,"Rejecting 3 is optimal because if Stage 1 fails, I make the offer in Stage 2. To make P1 willing to accept then, I only need to give P1 at least what they can secure in Stage 3, which is 36 points for P2 and 64 for P1. Accepting 3 now gives me 3, while rejecting lets me propose keeping about 36 for myself in Stage 2, worth 36×0.4=14.4 to me, which is much better than 3.",64,8,3
False,,"Rejecting because 3 points now is far below what I can secure by making the Stage 2 offer. As P2 in Stage 2, I can propose giving P1 up to 60 and keep 40, which P1 should accept since rejecting leads to at most 36 in Stage 3. That gives me 40×0.4=16, which is much better than accepting 3 now.",60,9,3
False,,"Rejecting 3 is optimal because if Stage 1 is rejected, in Stage 2 I can propose an allocation that gives P1 just enough to prefer accepting over waiting for Stage 3. In Stage 3, P1 would offer me at least 0 points and can secure acceptance with a very small offer, so P1's continuation value from reaching Stage 3 is low in discounted terms. That lets me offer P1 1 point in Stage 2 and keep 99 for myself, giving me a discounted payoff of 99×0.4=39.6, which is far better than accepting 3 now.",1,10,3
False,,"Rejecting because 3 points now is far below what I can secure by counteroffering in Stage 2. As P2, I make the next offer, and even accounting for discounting, this offer is too low to maximize my payoff.",40,11,3
False,,"Rejecting because 3 points now is far below what I can secure by bargaining in Stage 2. As P2, I make the next offer if I reject, so this initial offer is too unfavorable to accept.",40,12,3
False,,"Rejecting is optimal because accepting 3 now gives me only 3 points, while by rejecting I can make the Stage 2 offer and secure much more than 3 discounted points with a reasonable proposal.",40,13,3
False,,"Rejecting 3 is optimal because if I reject, in Stage 2 I can make an offer that leaves P1 just enough to prefer accepting over waiting for Stage 3. P1's Stage 3 continuation value is 0.36 times what they expect there, so I can secure far more than 3 discounted points for myself by proposing 40 to P1 and 60 to me in Stage 2.",40,14,3
False,,"Rejecting 3 because it is far below what I can secure by waiting. In Stage 2, if I offer P1 6 and keep 94, P1 should accept since 6 at Stage 2 is worth 3.6 to P1, which is better than the most P1 can guarantee by rejecting and going to Stage 3. That gives me a discounted payoff of 94×0.4=37.6, which is much better than accepting 3 now.",6,15,3
False,,"Rejecting 3 is optimal because if Stage 1 is rejected, in Stage 2 I can propose giving P1 6 and keeping 94, which P1 should accept since rejecting leads to Stage 3 where P1 can get at most 94 discounted by 0.36 = 33.84. My Stage 2 payoff from that offer would be 94 × 0.4 = 37.6, which is far better than accepting 3 now.",6,16,3
False,,"Rejecting 3 because as P2 I can do better by moving to Stage 2. If Stage 1 ends now I get 3. In Stage 2, even with my 0.4 discount factor, I can propose terms that give me much more than 3 and are still acceptable to P1 compared with waiting for Stage 3. So 3 is far below a reasonable cutoff.",60,17,3
False,,"Rejecting is better because accepting 3 now gives me only 3 points, while if we move to Stage 2 I can propose an allocation that gives me much more and is still likely to be acceptable to P1 given their discounting.",60,18,3
False,,"Rejecting 3 is optimal because if stage 1 is rejected, in stage 2 I can propose an offer that gives P1 just enough to prefer accepting over waiting for stage 3. In stage 3, P1 would offer me 0 and keep 100, so P1's continuation value from reaching stage 3 is 100 × 0.36 = 36. Therefore in stage 2 I can offer P1 60, which gives P1 60 × 0.6 = 36, making acceptance reasonable, while I keep 40 and earn 40 × 0.4 = 16. This is far better for me than accepting 3 now.",60,19,3
False,,"Rejecting because 3 points now is far below what I can secure by rejecting and making the Stage 2 offer. In Stage 2, if I offer P1 36 and keep 64, P1 gets 36×0.6=21.6, which matches what P1 can guarantee in Stage 3 by offering me 40 and keeping 60. That means 36 is enough to induce acceptance, giving me 64×0.4=25.6, which is much better than accepting 3 now.",36,20,3
False,,"Rejecting 4 is better because if Stage 2 is reached, I can propose an offer that gives P1 just enough to accept given their discounted continuation value, leaving me substantially more than 4 even after my own discounting.",40,1,4
False,,"Rejecting 4 is optimal because accepting gives me only 4 now, while if we move to Stage 2 I make the offer and can secure much more than 4 for myself. In Stage 3, if no agreement is reached in Stage 2, I would only need 16 points there to match a Stage 2 payoff of 4, so I can credibly demand a much better Stage 2 split. I therefore reject and offer P1 40 in Stage 2.",40,2,4
False,,"Rejecting is better because if Stage 1 ends now I get only 4. In Stage 2 I can make the offer, and to induce P1 to accept I only need to give P1 at least what they expect from Stage 3, which is 36. So I can propose giving P1 36 and keep 64; with my Stage 2 discount factor 0.4, that gives me 25.6, which is far better than 4.",36,3,4
False,,"Rejecting 4 is better because if Stage 2 is reached, I can propose an offer that gives myself much more and P1 should still prefer accepting over risking Stage 3. At Stage 2 my discount factor is 0.4, so I need more than 10 points there to beat 4 now; I can demand far more than that.",40,4,4
False,,"Rejecting is better because accepting 4 now gives me payoff 4, while if we move to Stage 2 I can propose an offer that gives me much more and P1 may still accept. The current offer is far below what I can reasonably secure.",60,5,4
False,,"Rejecting is better for me. Accepting 4 now gives me payoff 4, but if we move to Stage 2 I can propose an allocation that gives P1 just enough to prefer accepting over waiting for Stage 3. Since P1 can secure at most 36×0.36 = 12.96 from Stage 3, offering P1 13 in Stage 2 should be acceptable, leaving 87 for me. My discounted payoff then would be 87×0.4 = 34.8, which is far higher than 4.",13,6,4
False,,"Rejecting 4 is better because if Stage 2 is reached, I can propose an offer that gives myself far more than 4 and still leaves P1 at least as well off as their expected continuation value from Stage 3. So 4 is too low to accept now.",60,7,4
False,,"Rejecting 4 is optimal because accepting gives me only 4 now, while by rejecting I can make the Stage 2 offer. In Stage 3, P1 can guarantee themself 84 points by offering me 16, so in Stage 2 I can offer P1 50 and keep 50; P1 should accept since 50 is at least their discounted Stage 3 value of 84×0.6=50.4. That gives me 50×0.4=20, which is far better than 4.",50,8,4
False,,"Rejecting is better for me because accepting now gives me only 4 points, while in Stage 2 I can make a counteroffer and still do much better even after discounting.",40,9,4
False,,"Rejecting is better for me. If I reject, I make the Stage 2 offer, and with my discount factor 0.4 I can still do much better than 4 by proposing a split favorable to me. Accepting 4 now gives me only 4, which is too low.",60,10,4
False,,"Rejecting 4 is optimal because if Stage 1 is rejected, in Stage 2 I can propose an allocation that gives P1 just enough to prefer accepting over waiting for Stage 3. In Stage 3, P1 would offer me at most 0 since I would accept any nonnegative amount rather than get 0, so P1's Stage 3 continuation value is 100×0.36=36. Thus in Stage 2, P1 will accept any offer giving them at least 36/0.6=60 points. I should therefore offer P1 60 and keep 40, giving me 40×0.4=16, which is much better than accepting 4 now.",60,11,4
False,,"Rejecting 4 is optimal because accepting gives me only 4 now, while if we move to Stage 2 I can propose an offer that I expect P1 to accept and secure a much higher discounted payoff for myself.",60,12,4
False,,"Rejecting 4 is optimal because accepting gives me only 4 now, while if we move to Stage 2 I make the offer and can secure much more than 4 even after my Stage 2 discount factor.",40,13,4
False,,"Rejecting is better because accepting 4 now gives me payoff 4, while in Stage 2 I can propose an allocation that gives me much more and P1 may accept since delay hurts them less than it hurts me but they still get positive discounted payoff. The current offer is far too low.",60,14,4
False,,"Rejecting is better for me. If I reject, I can make the Stage 2 offer, and P1 would need to accept at least 22 points in Stage 2 because accepting gives them 0.6 times their allocation, while rejecting leads to Stage 3 where they can get at most 0.36 times 100 = 36. So offering P1 22 and keeping 78 for myself would likely be accepted, giving me 78 times 0.4 = 31.2, which is far better than accepting 4 now for payoff 4.",22,15,4
False,,"Rejecting is better because accepting 4 now gives me payoff 4, while if I reject I can propose in Stage 2 and can secure much more than 4 for myself. Since P1's Stage 3 continuation value is low, I can profitably demand most of the surplus in Stage 2.",36,16,4
False,,"Rejecting is better for me. If I reject now, I make the Stage 2 offer and can demand up to 90 for myself (offering P1 10), which P1 should accept because rejecting would lead to Stage 3 where P1 can get at most 36. The current offer gives me only 4 now, which is far below what I can secure by rejecting.",10,17,4
False,,"Rejecting 4 is optimal because if I reject and make a stage-2 offer, P1 will accept any offer giving them at least 36 points, since rejecting would lead to stage 3 where their best acceptable payoff is 36. So I can offer P1 36 and keep 64, giving me a discounted payoff of 64 × 0.4 = 25.6, which is far better than accepting 4 now.",36,18,4
False,,"Rejecting 4 is optimal because accepting gives me only 4 now, while if I reject I can make the Stage 2 offer. Since P1 would compare accepting in Stage 2 with rejecting and waiting for Stage 3, I only need to give P1 enough so that 0.6*x is at least what P1 can guarantee in Stage 3. In Stage 3, P1 can offer me 0 and keep 100, giving themselves 100*0.36 = 36. So in Stage 2 I need to offer P1 at least 60 points, leaving 40 for me. My discounted payoff then would be 40*0.4 = 16, which is better than 4.",60,19,4
False,,"Rejecting is better for me because if we move to Stage 2, I make the offer. Since my Stage 2 discount factor is 0.4, I only need at least 1 point in Stage 2 to beat the 4 points offered now, and I can likely secure much more while still giving P1 enough to prefer accepting over waiting for Stage 3.",61,20,4
False,,"Rejecting is better because 5 now is too low relative to what I can secure by making the Stage 2 offer. In Stage 2, if I offer P1 60 and keep 40, P1 gets 60×0.6=36, which is better for P1 than risking Stage 3 where P1 would need to offer me at least 25 for me to accept, leaving P1 at most 75×0.36=27. So P1 should accept 60 in Stage 2, and I would get 40×0.4=16, which is much better than accepting 5 now.",60,1,5
False,,"Rejecting is better because 5 points now gives me payoff 5, while if we move to Stage 2 I can make the offer and still secure much more than 5 points even after my discount factor. I should reject such a very low offer and propose a division favoring me.",60,2,5
False,,"Rejecting 5 is optimal because if I reject, I make the Stage 2 offer. In Stage 3, if I reject then, I get 0, so I would accept any Stage 3 offer giving me at least 1 point. Therefore in Stage 3 P1 can offer me 1 and keep 99, worth 99 × 0.36 = 35.64 to P1. So in Stage 2, P1 will accept any offer giving them at least 60 points, since 60 × 0.6 = 36 exceeds their Stage 3 continuation value. Thus I can offer P1 60 and keep 40 in Stage 2, giving me 40 × 0.4 = 16, which is better than accepting 5 now.",60,3,5
False,,"Rejecting 5 is better because in Stage 2 I make the offer. To get me to accept in Stage 2, P1 would need at least 13 points then, which gives me 87 points worth 34.8 after my discount factor, far above the 5 points I get by accepting now.",13,4,5
False,,"Rejecting 5 is optimal because if the game moves to Stage 2, I can propose giving P1 at most 36 and keep 64 for myself; P1 should accept since rejecting would lead to Stage 3 where their best possible discounted payoff is only 36. That would give me a discounted payoff of 64 × 0.4 = 25.6, which is much better than accepting 5 now.",36,5,5
False,,"Rejecting is better because accepting 5 now gives me only 5 points, while if we move to Stage 2 I can make the offer and should be able to secure more than my discounted continuation value. In Stage 3, P1 would need to offer me at least 1 point for me to accept, so P1's maximum Stage 3 payoff is 99×0.36=35.64. Therefore in Stage 2, P1 should accept any offer giving them at least 36 points. That lets me propose 64 for myself and 36 for P1, giving me 64×0.4=25.6, which is far better than 5.",36,6,5
False,,"Rejecting 5 is optimal because accepting gives me only 5 now, while if we move to Stage 2 I make the offer and can demand far more than my discounted continuation value. Even accounting for discounting, 5 is too low.",84,7,5
False,,"Rejecting 5 is optimal because if Stage 1 is rejected, in Stage 2 I can propose giving P1 up to 36 and keep 64, which P1 should accept since rejecting leads to Stage 3 where P1 can get at most 36. That gives me 64 × 0.4 = 25.6, which is far better than accepting 5 now.",36,8,5
False,,"Rejecting 5 is better because in Stage 2 I can make the offer. If Stage 2 agreement gives me more than 12.5 points, my discounted payoff exceeds the 5 points offered now, and I can reasonably demand much more than that.",60,9,5
False,,"Rejecting 5 is optimal because if Stage 1 is rejected, in Stage 2 I can propose an allocation that gives P1 just enough to prefer accepting over waiting for Stage 3. In Stage 3, P1 would offer me the minimum I would accept, which is 0 since rejecting in Stage 3 gives me 0. So P1's Stage 3 payoff can be 100×0.36=36. Therefore in Stage 2, P1 will accept any offer giving them at least 36/0.6=60 points. That lets me keep 40 points in Stage 2, worth 40×0.4=16, which is better than accepting 5 now.",60,10,5
False,,"Rejecting 5 is optimal because if Stage 1 is rejected, in Stage 2 I can propose giving P1 at most 36 and keep 64 for myself, which P1 should accept since rejecting would lead to Stage 3 where P1 can get at most 36. That gives me a Stage 2 payoff of 64×0.4=25.6, far better than accepting 5 now.",36,11,5
False,,"Rejecting is better because accepting 5 now gives me only 5, while if we move to Stage 2 I make the offer and can rationally seek much more than 12.5 points, which would already outperform accepting 5 given my 0.4 discount factor.",40,12,5
False,,"Rejecting 5 is optimal because if Stage 1 is rejected, in Stage 2 I can propose a division that gives P1 at most 36 points and me 64 points, which P1 should accept since rejecting would lead to Stage 3 where P1 can secure at most 36. That would give me 64 × 0.4 = 25.6 discounted points, far more than the 5 points offered now.",36,13,5
False,,"Rejecting is better for me strategically and in expected payoff terms. If I reject, I can make the Stage 2 offer, where my payoff from getting x points is 0.4x. In Stage 3, P1 can secure acceptance by offering me just enough to match rejecting to 0, so my continuation value is very low. Anticipating this, in Stage 2 I can propose giving P1 36 and keeping 64, which gives P1 36×0.6=21.6, matching what P1 can guarantee in Stage 3 by offering me 40 and keeping 60. I would then get 64×0.4=25.6, which is far better than accepting 5 now.",36,14,5
